LotNumber,ParentLotNumber,UniqueIdentifier,HubCode,Title1,Title2,Title3,PostLotText,PreLotText,Description,Provenance,Literature,Exhibited,PropertyOf,ConditionReport,LocationAndCollection,TaxesAndOtherCharges,ShippingAndDelivery,PaymentInformation,LotClosingInformation,NoteToBuyer,LotEssay,LotNotes,AdditionalChargeDetails,EstimateLowerLimit,EstimateHigherLimit,ShippingBand,Images,MainImage,VideoImages,VideoLinks,MainVideo,RotateableImageUri,Auctiontype,IsFeatured,StartDate,EndDate,StartingBidAmount,Reserve,Height,Width,RelativeSizeImage,PackageHeight,PackageWidth,PackageDepth,PackageWeight,CountryOfOrigin,DateOfManufacture,HsCode,TaxType,VendorType,FPSHammer,FPSTotalSalePrice,Category,ArtistsResaleRightsSet,RelatedLots,ShippingCostBasedOnQuantity,Quantity,UnitType,ShippingConsolidation,ShippingSurcharge,AvailableStartDate,AvailableEndDate,Hidden,Position,OfferStartDate,DisplayDate,ConsignorType,LiveAuctionLot,DutyCode,VolumeCount,EucrdApplicable,Material / Technique,Type,Artist / Maker
43,,23805.43,PAR,"CARTIER PAIRE DE BOUCLES D'OREILLES CORAIL, ONYX ET DIAMANTS ‘PANTHÈRE’",,,,,"Round coral bead, spot-shaped onyx, round brilliant-cut diamonds, 18k white gold (Swiss marks), signed Cartier<br><br>Diamonds: with a total approximate weight of 1.20-1.40 carat<br><br>Size/Dimensions: 2.0 x 1.7 cm<br>Gross weight: 10.4 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. Earrings fitted with posts and clip backs for pierced ears.<br>- Additional marks: ©, Au750, 750.<br>- Coral: good condition. A few blemishes, with minor scratches at surface.<br>- Onyx: good condition. With minor scratches at surface.<br>- Diamonds: bright and lively. <br>- Please refer to the Conditions of Sale for further information regarding the sale of endangered species.",,,,,,,,,,12000,18000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:42:00,12000,12000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,coral;diamond;onyx,earrings,Cartier
44,,23805.44,PAR,BRACELET DIAMANTS,,,,,"Square and round brilliant-cut diamonds, 18k white gold (customs mark)<br><br>Diamonds: with an approximate total weight of 24.00-26.00 carats<br><br>Size/Dimensions: 17.5 cm<br>Gross weight: 63.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Diamonds: on average G to I color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:43:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,bracelet,
45,,23805.45,PAR,VAN CLEEF & ARPELS BROCHE DIAMANTS ART DÉCO,,,,,"Round, emerald and rectangular diamonds, platinum (French mark), signed Van Cleef & Arpels, numbered, circa 1925<br><br>Diamonds: with an approximate total weight of 4.50-5.50 carats<br><br>Size/Dimensions: 3.9 x 2.7 cm<br>Gross weight: 12.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a single pinstem clipback.<br>- Diamonds: on average I to L color, VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:44:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;platinum,brooch,Van Cleef & Arpels
46,,23805.46,PAR,CARTIER BROCHE CORAIL ET DIAMANTS,,,,,"Rosebud-shaped coral, round brilliant-cut diamonds, platinum and 18k white gold (French marks), signed Cartier Paris, maker’s mark (Société Anonyme Cartier), numbered, circa 1950<br><br>Main diamond: with an approximate weigh of 0.25 carat<br><br>Size/Dimensions: 4.0 x 3.5 cm<br>Gross weight: 14.5 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold and platinum. Fitted with a double pinstem clipback.<br>- Coral: in good condition. A few blemishes, with minor scratches at surface.<br>-Diamonds: on average E to G colour, VVS to VS clarity. Colour has been gauged as far as the yellow mounting permits. With chips at the junction of the table's facets.<br>-Please refer to the Conditions of Sale for further information regarding the sale of endangered species.",,,,,,,,,,7000,10000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:45:00,7000,7000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,coral;diamond,brooch,Cartier
47,,23805.47,PAR,VAN CLEEF & ARPELS CLIP DE REVERS DIAMANTS ART DÉCO,,,,,"Round, triangular, baguette, trapezoidal-shaped, rectangular and old-cut diamonds, platinum and 18k white gold (French mark), signed Van Cleef & Arpels, maker’s mark (Dumont & Compagnie), numbered, circa 1925<br><br>Diamonds: with an approximate total weight of 12.50-14.50 carats<br><br>Size/Dimensions: 4.0 x 5.0 cm<br>Gross weight: 29.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Diamonds: on average G to I color, VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,35000,55000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:46:00,35000,35000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,brooch,Van Cleef & Arpels
48,,23805.48,PAR,BAGUE DIAMANTS,,,,,"Old-cut diamonds of 1.99 and 2.31 carats, platinum (French customs mark)<br><br>Size/Dimensions: FR ring size: 58 / US ring size: 8<sup>1</sup>⁄<sub>4</sub><br>Gross weight: 10.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. <br>- Diamonds: on average I to K color, VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,20000,40000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:47:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,ring,
49,,23805.49,PAR,RAYMOND TEMPLIER BROCHE CORAIL ET DIAMANTS ART DÉCO,,,,,"Half-cylinder-shaped coral, round and old-cut diamonds, platinum and 18k white gold (French marks), signed Raymond Templier, numbered, circa 1920<br><br>Size/Dimensions: 4.5 x 1.7 cm<br>Gross weight: 12.9 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold and platinum. Fitted with a single pinstem.<br>- Coral: good condition. A few blemishes, with minor scratches at surface.<br>- Diamonds: bright and lively.<br>- Please refer to the Conditions of Sale for further information regarding the sale of endangered species.",,,,,,,,,,10000,20000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:48:00,5000,5000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Organization,FALSE,,,TRUE,coral;diamond;platinum,brooch,"Templier, Raymond (1891-1968)"
50,,23805.50,PAR,FRED PENDENTIF CHRYSOPRASE ET ONYX,,,,,"Fancy-shaped chrysoprase, truffle-shaped onyx, 18k yellow gold (French mark), signed Fred Paris, maker’s mark (Roger Mathon), circa 1970<br><br>Size/Dimensions: 7.5 x 5.4 cm<br>Gross weight: 37.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold.<br>- Chrysoprase: : with typical inclusions, minor chips at surface.<br>- Onyx: in good condition, with minor scratches at surface.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:49:00,7000,7000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,TRUE,gold,pendant,Fred
51,,23805.51,PAR,SAC DU SOIR,,,,,18k yellow gold (customs mark)<br><br>Size/Dimensions: 18.5 x 9.0 x 3.6 cm<br>Gross weight: 471.3 grams<br>,,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold, severe oxidation stains. Open to reveal a compartment and a mirror.<br>- Additional marks: 750, unidentifiable marks, M.<br>- Mirror: in fair condition, the gold frame holding the mirror and the mirror itself have come loose; the mirror is broken at the edges but not near the center.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:50:00,20000,20000,0,0,,,,,,Finland,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold,Evening bag,
52,,23805.52,PAR,VAN CLEEF & ARPELS BRACELET DIAMANTS,,,,,"Round brilliant-cut diamonds, 18k yellow and white gold (custom mark), signed VCA NY, numbered, circa 1970<br><br>Diamonds: with an approximate total weight of 0.80-1.20 carat<br><br>Size/Dimensions: 18.2 cm<br>Gross weight: 64.2 grams<br>",,,,,-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. Fitted with a concealed and secured clasp.<br>- Diamonds: with minor chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.,,,,,,,,,,10000,20000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:51:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,TRUE,gold;diamond,bracelet,Van Cleef & Arpels
53,,23805.53,PAR,BAGUE ÉMERAUDE ET DIAMANTS,,,,,"Pear mixed-cut emerald of 2.20 carats, pear-shaped diamond of 1.77 carats and tapered baguette-cut diamonds, 18k white gold (French mark)<br><br>ALGT, 2024, report n°.47416956: for emerald: 2.20 carats, Colombia / for main diamond: 1.77 carat, D color, VVS2 clarity / for remaining diamonds: with an approximate total weight of 0.60 carat, D-E color, VVS clarity<br><br>Size/Dimensions: FR ring size: 50<sup>1</sup>⁄<sub>2</sub> / US ring size: 5<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 5.7 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold.<br>- Emerald: with typical inclusions, minor chips at the junction of the table's facets and at the girdle.<br>- Diamonds: with minor chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:52:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,TRUE,emerald;diamond,ring,
54,,23805.54,PAR,"BAGUE SAPHIR COULEUR, SAPHIRS ET DIAMANTS",,,,,"Rounded rectangular cushion-shaped coloured sapphire, round brilliant-cut diamonds, 18k white gold (customs mark)<br><br>Gem Paris, 2025, report n°.20251978192-7: Sri-Lanka, non heated<br><br>Coloured sapphire: with an approximate weight of 5.50-6.50 carats<br>Sapphires: with an approximate total weight of 1.00-1.30 carat<br>Diamonds: with an approximate total weight of 0.40-0.60 carat<br><br>Size/Dimensions: FR ring size: 56 / US ring size: 7<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 8.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold.<br>- Additional marks: 750.<br>- Coloured sapphire: with typical inclusions, with minor chips and cracks at the junction of the table's facets and at the girdle.<br>- Sapphires: with typical inclusions, with minor chips and cracks at the junction of the table's facets and at the girdle.<br>- Diamonds: with very minor chips at the junction of the table's facets. One diamond deficient.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,4000,5000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:53:00,4000,4000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;gold,ring,
55,,23805.55,PAR,KÖCHERT PAIRE DE BOUCLES D’OREILLES PERLES DE CULTURE ET DIAMANTS,,,,,"Round cultured pearls, old-cut diamonds, 18k white gold (customs marks), maker’s marks<br><br>Cultured pearls: measuring approximately 12.9 x 13.5 mm and 13.0 x 13.2 mm<br>Diamonds: with an approximate weight of 3.20-3.50 carats and 3.20-3.50 carats<br><br>Size/Dimensions: 2.5 cm<br>Gross weight: 16.0 grams<br><br><b>Please note that the pearls have not been tested for natural origin.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Earrings with clip backs for non-pierced ears.<br>- Additional marks: unidentifiable marks.<br>- Cultured pearls: of white to grey bodycolor, with rosé and green overtones, good luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface.<br>- Diamonds: on average L to M color, VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.",,,,,,,,,,25000,35000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:54:00,24000,25000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;pearl;gold,earrings,
56,,23805.56,PAR,BOUCHERON BROCHE ÉMERAUDE ET DIAMANTS,,,,,"Round emerald, pear and marquise-shaped diamonds, 18k white and yellow gold (French mark), signed Boucheron Paris, maker’s mark (Robert Sublon), numbered<br><br>Gem Paris, 2025, report n°.20251978192-5: Colombia, minor oil<br><br>Emerald: with an approximate weight of 3.00-3.50 carats<br>Diamonds: with an approximate total weight of 15.00-17.00 carats<br><br>Size/Dimensions: 3.9 x 4.0 cm<br>Gross weight: 19.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a double pinstem clipback.<br>- Additional marks: Déposé.<br>- Emerald: with typical inclusions, minor chips at the junction of the table's facets and at the girdle.<br>-Diamonds: on average F to H colour, VS1 to VS2 clarity. Colour has been gauged as far as the yellow mounting permits. With chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:55:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,emerald;diamond;gold,brooch,Boucheron
57,,23805.57,PAR,CARTIER BRIQUET/HORLOGE ÉMAIL ART DÉCO,,,,,"Rectangular-shaped dial with Arabic numerals, blue hands, black and green enamel, silver, 1920s, dial signed Cartier, numbered, red Cartier case<br><br>Size/Dimensions: 7.9 x 1.2 cm <br>Gross weight: 35.2 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear commensurate with age, including abrasion marks and traces of patina. <br>-Enamel: with a few losses and some scratches. The top opening to reveal a travel clock and the bottom to reveal a lighter<br>-The movement is not ticking at the time of cataloguing. A service is required.<br>-Please refer to the Conditions of Sale for further information regarding all clocks and watches.",,,,,,,,,,3000,5000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:56:00,3000,3000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,enamel,all other types of objects,
58,,23805.58,PAR,BOUCHERON PAIRE DE BOUCLES D’OREILLES ÉMERAUDES ET DIAMANTS,,,,,"Octagonal step-cut emeralds of 4.70 carats and 3.46 carats, round brilliant and marquise diamonds, platinum and 18k yellow and white gold (French marks), signed Boucheron Paris <br><br>SSEF, 2025, report n°.145974: approximately 10.00 x 9.95 x 6.70 mm and approximately 10.00 x 9.50 x 5.45 mm Colombia, minor oil<br><br>Size/Dimensions: 2.0 x 2.1 cm<br>Gross weight: 15.1 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with clip backs for non-pierced ears.<br>- Emeralds: with typical inclusions, minor chips at the junction of the table's facets and at the girdle.<br>- Diamonds: with chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,40000,60000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:57:00,40000,40000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,emerald;diamond;gold,earrings,Boucheron
59,,23805.59,PAR,RENÉ BOIVIN BROCHE ÉMERAUDES ET AIGUES-MARINES 'ÉTOILE DE MER',,,,,"Oval emerald cabochons, round aquamarines, 18k yellow gold (French marks), signed R.Boivin, maker's mark (René Boivin), 1991, René Boivin case<br><br>Maison René Boivin, 2025: original piece manufactured by René Boivin in July 1991 after a drawing of Juliette Moutard<br><br>Size/Dimensions: 11.0 x 11.5 cm<br>Gross weight: 119.7 grams<br>Maison René Boivin, 2025: original piece manufactured by René Boivin in July 1991 after a drawing of Juliette Moutard<br>",,"Cf. F. Cailles, René Boivin, Joaillier, Les Éditions de l'Amateur, Paris, 1994, p. 279 for a similar piece.",,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a double pinstem. The arms of the starfish are slightly articulated.<br>- Emeralds: with typical inclusions, minor cracks at surface.<br>- Aquamarines: with typical inclusions, minor chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,120000,180000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:58:00,120000,120000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,aquamarine;emerald,brooch,"Boivin, Rene"
60,,23805.60,PAR,MONTURE BOUCHERON BAGUE ÉMERAUDE ET DIAMANTS,,,,,"Octagonal step-cut emerald of 7.30 carats, triangular diamonds, 18k yellow gold (French marks), signed MT Boucheron, maker’s mark (Société Boucheron), numbered <br><br>SSEF, 2025, report n°.145970: approximately 12.60 x 11.45 x 8.10 mm, Colombia, minor oil<br><br>Diamonds: with an approximate total weight of 0.70-0.90 carat<br><br>Size/Dimensions: FR ring size: 53 / US ring size: 6<sup>1</sup>⁄<sub>4</sub><br>Gross weight: 7.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. <br>- Additional marks: OR 750.<br>- Emerald: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,40000,60000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:59:00,40000,40000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,emerald;diamond;gold,ring,Boucheron
61,,23805.61,PAR,"RENÉ BOIVIN COLLIER TRANSFORMABLE ÉMERAUDES, RUBIS ET DIAMANTS 'TOURNANTS'",,,,,"The rectangular elements can be rotated (one side with diamonds and the other with rubies or emeralds) <br><br>Round emeralds and rubies, round brilliant-cut diamonds, 18k yellow gold (French mark), maker’s mark, 1984<br><br>Maison René Boivin, 2025: original piece manufactured by René Boivin in December 1984 after a drawing of Marie-Caroline De Brosses<br><br>Emeralds: with an approximate total weight of 6.50-7.00 carats<br>Rubies: with an approximate total weight of 6.50-7.00 carats<br>Diamonds: with an approximate total weight of 10.50-11.50 carats<br><br>Size/Dimensions: inner continuous circumference 34.0 cm <br>Gross weight: 99.0 grams<br>Maison René Boivin, 2025: original piece manufactured by René Boivin in December 1984 after a drawing of Marie-Caroline De Brosses<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, oxidation stains. Fitted with a concealed clasp.<br>- Rubies: : with typical inclusions, minor chips at the junction of the table's facets.<br>- Emeralds: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,60000,80000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:00:00,60000,60000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;ruby;emerald,necklace,"Boivin, Rene"
62,,23805.62,PAR,RENÉ BOIVIN BRACELET RUBIS ET DIAMANTS 'CACHETTES',,,,,"Gold panels slide to reveal either silver panels or gemstones<br><br>Round rubies and round brilliant-cut diamonds, gold and silver (customs marks) , maker's mark (Yves Galtié), 1979<br><br>Maison René Boivin, 2025: original piece manufactured by René Boivin in November 1979 after a drawing of Marie-Caroline De Brosses<br><br>Rubies: with an approximate total weight of 2.80-3.20 carats<br>Diamonds: with an approximate total weight of 3.70-4.20 carats<br><br>Size/Dimensions: inner continuous circumference 16.0 cm <br>Gross Weight: 71.2 grams<br>Maison René Boivin, 2025: original piece manufactured by René Boivin in November 1979 after a drawing of Marie-Caroline De Brosses<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, oxidation stains, severe scratches on silver.<br>- Rubies: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,26000,35000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:01:00,26000,26000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;ruby;diamond,bracelet,"Boivin, Rene"
63,,23805.63,PAR,BULGARI SAC DU SOIR RUBIS ET DIAMANTS,,,,,"Round ruby cabochons, round diamonds, 18k yellow and white gold (customs mark), signed Bulgari, circa 1950<br><br>Size/Dimensions: 14.0 x 7.0 cm<br>Gross weight: 316.6 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. Opening on a single compartment covered with chick-yellow satin fabric.<br>- Rubies: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H colour, VVS to VS clarity. Colour has been gauged as far as the yellow mounting permits. <br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,15000,25000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:02:00,15000,15000,0,0,,,,,,Italy,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;ruby;gold,Evening bag,Bulgari
64,,23805.64,PAR,NO RESERVE - BOUCHERON PAIRE DE BOUCLES D’OREILLES RUBIS ET DIAMANTS,,,<i><b>• This lot is offered without reserve. </b></i><i><br></i><b>• Lot proposé sans prix de réserve.</b>,,"Round rubies, round brilliant and baguette-cut diamonds, platinum and 18k yellow and white gold (French marks), signed Boucheron Paris, French maker’s mark (Robert Sublon), numbered, Boucheron pouch, circa 1960<br><br>Rubies: with an approximate total weight of 2.80-3.20 carats<br>Diamonds: with an approximate total weight of 3.20-3.60 carats<br><br>Size/Dimensions: 2.2 x 2.2 cm<br>Gross weight: 19.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with clip backs for non-pierced ears.<br>- Rubies: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With minor chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,6000,8000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:03:00,100,100,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,ruby;diamond,earrings,Boucheron
65,,23805.65,PAR,CARTIER MONTRE DE DAME DIAMANTS 'BAIGNOIRE',,,,,"Marquise diamonds, 18k yellow gold (French mark), case, dial and deployant clasp signed Cartier, bracelet signed Must de Cartier, mechanical movement, case and bracelet numbered<br><br>Diamonds: with an approximate total weight of 3.40-3.80 carats<br><br>Size/Dimensions: case 26.0 x 17.0 mm, bracelet 14.0 cm<br>Gross weight: 30.6 grams <br><br><b>Please note that Christie's cannot certify that the diamonds are original on the watch.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a folding clasp.<br>- Glass: in good condition, very minor scratches at surface.<br>- Bracelet (black satin): signed Must de Cartier, 18K, 750, BC.<br>- Case: signed Cartier, numbered, 750. Internal case back numbered 63953.<br>- Dial: signed Cartier Paris.<br>- Diamonds: on average H to I color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.<br>- Movement is working at time of cataloguing. The movement has not been tested for accuracy. A service is highly recommended.<br>- Please note that working order and time keeping cannot be guaranteed at time of purchase. Please refer to the Conditions of Sale further information regarding all clocks and watches.",,,,,,,,,,8000,12000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:04:00,8000,8000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,wristwatch,Cartier
66,,23805.66,PAR,ATTRIBUÉES À HARRY WINSTON PAIRE DE BOUCLES D’OREILLES DIAMANTS,,,,,"Pear, marquise and round brilliant-cut diamonds, platinum and 18k white gold (French mark), Swiss maker’s mark (Jacques Timey for Harry Winston)<br><br>Diamonds: with an approximate total weight of 14.50-16.50 carats<br><br>Size/Dimensions: 2.6 x 2.3 cm<br>Gross weight: 14.1 grams<br><br><b>Please note that earrings are not signed Harry Winston.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with clip backs for non-pierced ears.<br>- Additional marks: PT950, OR (on each earrings).<br>- Diamonds: on average E to G color, VVS1 to VVS2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,30000,50000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:05:00,30000,30000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Organization,FALSE,,,TRUE,diamond;gold,earrings,Harry Winston
67,,23805.67,PAR,BAGUE DIAMANT,,,,,"Round brilliant-cut diamond of 4.46 carats, platinum (customs mark) <br><br>LFG, 2024, report n°.413905: 4.46 carats, N-R color, VS2 clarity, no fluorescence<br><br>Size/Dimensions: FR ring size: 56 / US ring size: 7<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 8.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum, oxidation stains. <br>- Diamond: with minor chips at the junction of the table's facets and at the girdle.",,,,,,,,,,15000,20000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 09:06:00,12000,12000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,ring,
